21,0.226962,0.158854,0.164449,0.151315,0.130613,0.167808,
22,0.223639,0.157272,0.163717,0.152056,0.132198,0.171119,
23,0.220690,0.155866,0.163066,0.152713,0.133604,0.174060,
24,0.218073,0.154619,0.162488,0.153296,0.134853,0.176672,
25,0.215750,0.153511,0.161973,0.153812,0.135962,0.178992,
26,0.213688,0.152527,0.161516,0.154270,0.136946,0.181052,
27,0.211857,0.151653,0.161111,0.154677,0.137820,0.182881,
28,0.210232,0.150878,0.160750,0.155038,0.138596,0.184506,
29,0.208790,0.150189,0.160430,0.155359,0.139284,0.185948,
30,0.207509,0.149578,0.160146,0.155643,0.139896,0.187229,

s=0.500000,p1 was converged at ,287
EPS is 2.225074e-308
0.197368,0.144737,0.157895,0.157895,0.144737,0.197368,

1,0.900000,0.066667,0.033333,0.000000,0.000000,0.000000,
2,0.817778,0.115556,0.061111,0.004444,0.001111,0.000000,
3,0.749593,0.151185,0.084185,0.011556,0.003222,0.000259,
4,0.692558,0.176919,0.103291,0.020120,0.006172,0.000941,
5,0.644437,0.195262,0.119060,0.029322,0.009784,0.002134,
6,0.603488,0.208087,0.132028,0.038627,0.013893,0.003877,
7,0.568349,0.216791,0.142649,0.047695,0.018349,0.006166,
8,0.537948,0.222423,0.151308,0.056321,0.023025,0.008974,
9,0.511439,0.225766,0.158329,0.064392,0.027817,0.012257,
10,0.488150,0.227411,0.163982,0.071858,0.032641,0.015959,
11,0.467542,0.227799,0.168497,0.078707,0.037433,0.020023,
12,0.449184,0.227265,0.172063,0.084955,0.042145,0.024387,
13,0.432728,0.226061,0.174843,0.090633,0.046741,0.028995,
14,0.417889,0.224374,0.176970,0.095780,0.051196,0.033790,
15,0.404437,0.222349,0.178556,0.100441,0.055494,0.038724,
16,0.392180,0.220094,0.179695,0.104658,0.059625,0.043749,
17,0.380961,0.217689,0.180466,0.108476,0.063583,0.048825,
18,0.370649,0.215195,0.180935,0.111935,0.067369,0.053917,
19,0.361135,0.212660,0.181158,0.115072,0.070983,0.058993,
20,0.352326,0.210116,0.181179,0.117922,0.074429,0.064028,
21,0.344144,0.207591,0.181037,0.120516,0.077713,0.068999,
22,0.336524,0.205102,0.180766,0.122883,0.080839,0.073887,
23,0.329407,0.202664,0.180390,0.125046,0.083815,0.078679,
24,0.322746,0.200286,0.179934,0.127029,0.086646,0.083360,
25,0.316497,0.197975,0.179414,0.128850,0.089341,0.087923,
26,0.310626,0.195735,0.178848,0.130527,0.091905,0.092360,
27,0.305098,0.193571,0.178247,0.132075,0.094344,0.096665,
28,0.299887,0.191482,0.177622,0.133507,0.096666,0.100836,
29,0.294967,0.189470,0.176982,0.134835,0.098877,0.104869,
30,0.290317,0.187534,0.176334,0.136070,0.100981,0.108764,

s=0.800000,p1 was converged at ,735
EPS is 2.225074e-308
0.197368,0.144737,0.157895,0.157895,0.144737,0.197368,

